pathway_id	flags	source_count	manifest_path
acute_abd_pain_redflags	PLACEHOLDER_MARKERS	3	data/sources/pathways/acute_abd_pain_redflags/manifest.json
acute_allergic_reaction_nonanaphylaxis	PLACEHOLDER_MARKERS	4	data/sources/pathways/acute_allergic_reaction_nonanaphylaxis/manifest.json
acute_back_pain_redflags	PLACEHOLDER_MARKERS	3	data/sources/pathways/acute_back_pain_redflags/manifest.json
acute_diarrhea	PLACEHOLDER_MARKERS	4	data/sources/pathways/acute_diarrhea/manifest.json
acute_kidney_injury_possible	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/acute_kidney_injury_possible/manifest.json
alcohol_withdrawal_mild	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/alcohol_withdrawal_mild/manifest.json
allergic_conjunctivitis	LT3_SOURCES	1	data/sources/pathways/allergic_conjunctivitis/manifest.json
allergic_reaction_non_anaphylaxis	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/allergic_reaction_non_anaphylaxis/manifest.json
allergic_rhinitis	PLACEHOLDER_MARKERS	4	data/sources/pathways/allergic_rhinitis/manifest.json
anaphylaxis_possible	PLACEHOLDER_MARKERS	3	data/sources/pathways/anaphylaxis_possible/manifest.json
angioedema_lip_tongue	PLACEHOLDER_MARKERS	3	data/sources/pathways/angioedema_lip_tongue/manifest.json
anxiety_panic	LT3_SOURCES	1	data/sources/pathways/anxiety_panic/manifest.json
anxiety_panic_noncrisis	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/anxiety_panic_noncrisis/manifest.json
appendicitis_possible	PLACEHOLDER_MARKERS	3	data/sources/pathways/appendicitis_possible/manifest.json
asthma_child_wheeze	PLACEHOLDER_MARKERS	3	data/sources/pathways/asthma_child_wheeze/manifest.json
asthma_wheeze	PLACEHOLDER_MARKERS	4	data/sources/pathways/asthma_wheeze/manifest.json
atrial_fibrillation_possible	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/atrial_fibrillation_possible/manifest.json
bacterial_sinusitis_possible	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/bacterial_sinusitis_possible/manifest.json
bell_palsy_possible	LT3_SOURCES	2	data/sources/pathways/bell_palsy_possible/manifest.json
bronchiolitis_infant	PLACEHOLDER_MARKERS	3	data/sources/pathways/bronchiolitis_infant/manifest.json
bronchitis_uncomplicated	LT3_SOURCES	1	data/sources/pathways/bronchitis_uncomplicated/manifest.json
carbon_monoxide_possible	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/carbon_monoxide_possible/manifest.json
caregiver_stress_noncrisis	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/caregiver_stress_noncrisis/manifest.json
cauda_equina_possible	LT3_SOURCES	1	data/sources/pathways/cauda_equina_possible/manifest.json
chest_pain	PLACEHOLDER_MARKERS	4	data/sources/pathways/chest_pain/manifest.json
cold_sore_hsv	PLACEHOLDER_MARKERS	4	data/sources/pathways/cold_sore_hsv/manifest.json
conjunctivitis_allergic	PLACEHOLDER_MARKERS	4	data/sources/pathways/conjunctivitis_allergic/manifest.json
conjunctivitis_bacterial	LT3_SOURCES,PLACEHOLDER_MARKERS	2	data/sources/pathways/conjunctivitis_bacterial/manifest.json
constipation	LT3_SOURCES	1	data/sources/pathways/constipation/manifest.json
constipation_child	LT3_SOURCES	1	data/sources/pathways/constipation_child/manifest.json
contact_dermatitis	PLACEHOLDER_MARKERS	3	data/sources/pathways/contact_dermatitis/manifest.json
contact_lens_red_eye	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/contact_lens_red_eye/manifest.json
copd_exacerbation	PLACEHOLDER_MARKERS	4	data/sources/pathways/copd_exacerbation/manifest.json
dehydration	PLACEHOLDER_MARKERS	4	data/sources/pathways/dehydration/manifest.json
dehydration_child	PLACEHOLDER_MARKERS	3	data/sources/pathways/dehydration_child/manifest.json
dehydration_mild	LT3_SOURCES	1	data/sources/pathways/dehydration_mild/manifest.json
dental_pain	LT3_SOURCES	1	data/sources/pathways/dental_pain/manifest.json
depression_crisis	PLACEHOLDER_MARKERS	3	data/sources/pathways/depression_crisis/manifest.json
depression_noncrisis	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/depression_noncrisis/manifest.json
diarrhea	LT3_SOURCES	2	data/sources/pathways/diarrhea/manifest.json
diverticulitis_possible	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/diverticulitis_possible/manifest.json
dog_bite_wound	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/dog_bite_wound/manifest.json
dyspnea_shortness_of_breath_noncardiac	LT3_SOURCES	2	data/sources/pathways/dyspnea_shortness_of_breath_noncardiac/manifest.json
ear_pain	LT3_SOURCES	2	data/sources/pathways/ear_pain/manifest.json
ear_pain_child	LT3_SOURCES	1	data/sources/pathways/ear_pain_child/manifest.json
eczema_flare	PLACEHOLDER_MARKERS	3	data/sources/pathways/eczema_flare/manifest.json
epistaxis_nosebleed	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/epistaxis_nosebleed/manifest.json
eye_floaters_flashes	PLACEHOLDER_MARKERS	4	data/sources/pathways/eye_floaters_flashes/manifest.json
eye_foreign_body	PLACEHOLDER_MARKERS	4	data/sources/pathways/eye_foreign_body/manifest.json
eye_pain_vision_change	LT3_SOURCES	1	data/sources/pathways/eye_pain_vision_change/manifest.json
eye_stye_hordeolum	PLACEHOLDER_MARKERS	4	data/sources/pathways/eye_stye_hordeolum/manifest.json
fever_child	LT3_SOURCES	1	data/sources/pathways/fever_child/manifest.json
