score	pathway_id	flags	source_count	manifest_path	summary
21	acute_kidney_injury_possible	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/acute_kidney_injury_possible/manifest.json	Acute kidney injury overview (starter)
21	alcohol_withdrawal_mild	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/alcohol_withdrawal_mild/manifest.json	Alcohol withdrawal overview (starter)
21	allergic_reaction_non_anaphylaxis	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/allergic_reaction_non_anaphylaxis/manifest.json	Allergic reaction guidance (starter)
21	anxiety_panic_noncrisis	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/anxiety_panic_noncrisis/manifest.json	Anxiety/panic reference (starter)
21	atrial_fibrillation_possible	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/atrial_fibrillation_possible/manifest.json	Atrial fibrillation overview (starter)
21	bacterial_sinusitis_possible	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/bacterial_sinusitis_possible/manifest.json	Sinus infection guidance (starter)
21	carbon_monoxide_possible	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/carbon_monoxide_possible/manifest.json	Carbon monoxide poisoning basics (starter)
21	caregiver_stress_noncrisis	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/caregiver_stress_noncrisis/manifest.json	Caregiver stress: resources overview (starter)
21	contact_lens_red_eye	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/contact_lens_red_eye/manifest.json	Contact lens complications overview (starter)
21	depression_noncrisis	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/depression_noncrisis/manifest.json	Depression reference (starter)
21	diverticulitis_possible	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/diverticulitis_possible/manifest.json	Diverticular disease overview (starter)
21	dog_bite_wound	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/dog_bite_wound/manifest.json	Animal bites: general guidance (starter)
